,code,pe_ratio
828,000505.XSHE,37.85
829,603021.XSHG,91.03
830,603909.XSHG,84.02
831,002412.XSHE,55.32
832,000609.XSHE,28.1
833,300465.XSHE,720.06
834,603300.XSHG,79.49
835,002386.XSHE,39.45
836,002870.XSHE,43.68
837,002483.XSHE,58.13
838,002820.XSHE,51.79
839,300389.XSHE,33.77
840,002369.XSHE,-354.9
841,300205.XSHE,252.65
842,300341.XSHE,38.7
843,000017.XSHE,1796.79
844,002228.XSHE,43.11
845,002213.XSHE,1487.71
846,300548.XSHE,67.58
847,000404.XSHE,18.85
848,002691.XSHE,914.26
849,002286.XSHE,95.92
850,603227.XSHG,-104.69
851,600692.XSHG,97.37
852,300261.XSHE,207.87
853,002549.XSHE,206.97
854,300265.XSHE,40.14
855,002107.XSHE,92.69
856,300138.XSHE,43.39
857,300016.XSHE,216.96
858,300071.XSHE,36.5
859,002087.XSHE,22.59
860,600368.XSHG,18.94
861,000906.XSHE,34.68
862,300041.XSHE,46.22
863,300611.XSHE,86.87
864,002154.XSHE,-12.68
865,002296.XSHE,56.43
866,002728.XSHE,51.83
867,002700.XSHE,62.47
868,600419.XSHG,58.72
869,600121.XSHG,-17.25
870,300086.XSHE,113.35
871,300481.XSHE,73.98
872,603996.XSHG,40.26
873,000409.XSHE,-21.33
874,300455.XSHE,70.95
875,300448.XSHE,56.62
876,002220.XSHE,26.71
877,300561.XSHE,68.76
878,300420.XSHE,61.58
879,600624.XSHG,121.12
880,600279.XSHG,58.97
881,002788.XSHE,41.76
882,600113.XSHG,53.36
883,002587.XSHE,47.94
884,603901.XSHG,54.19
885,600984.XSHG,51.79
886,300477.XSHE,55.14
887,300545.XSHE,115.95
888,600836.XSHG,-264.78
889,603011.XSHG,97.13
890,601789.XSHG,24.97
891,002225.XSHE,-27.39
892,603615.XSHG,53.18
893,600800.XSHG,305.27
894,600215.XSHG,193.01
895,002772.XSHE,40.13
896,300394.XSHE,39.43
897,300419.XSHE,77.24
898,600328.XSHG,37.34
899,300095.XSHE,105.34
900,000532.XSHE,129.34
901,300320.XSHE,57.09
902,600995.XSHG,29.18
903,300382.XSHE,45.5
904,002196.XSHE,40.51
905,002524.XSHE,2663.73
906,600838.XSHG,26.43
907,600630.XSHG,252.17
908,002331.XSHE,63.58
909,300108.XSHE,26.29
910,300468.XSHE,61.68
911,600558.XSHG,103.69
912,300082.XSHE,43.28
913,000850.XSHE,52.18
914,002052.XSHE,-8.31
915,603085.XSHG,135.8
916,600209.XSHG,-109.04
917,300580.XSHE,41.32
918,300275.XSHE,-153.57
919,300591.XSHE,138.81
920,002632.XSHE,87.01
921,603017.XSHG,40.7
922,002730.XSHE,128.17
923,002751.XSHE,295.7
924,300490.XSHE,107.57
925,300491.XSHE,152.01
926,600449.XSHG,55.16
927,601999.XSHG,39.05
928,603787.XSHG,62.65
929,002722.XSHE,39.4
930,002546.XSHE,59.1
931,300301.XSHE,-66.74
932,000554.XSHE,1147.98
933,000708.XSHE,16.67
934,002021.XSHE,293.21
935,600163.XSHG,43.18
936,603203.XSHG,45.66
937,603067.XSHG,48.43
938,002749.XSHE,34.54
939,603189.XSHG,75.08
940,002098.XSHE,41.97
941,300396.XSHE,38.74
942,603158.XSHG,41.57
943,300617.XSHE,64.46
944,000635.XSHE,32.88
945,300401.XSHE,84.52
946,603716.XSHG,70.06
947,300462.XSHE,109.51
948,000682.XSHE,81.58
949,000833.XSHE,91.7
950,300042.XSHE,107.7
951,603729.XSHG,131.62
952,603878.XSHG,38.06
953,600716.XSHG,125.51
954,002297.XSHE,485.11
955,300602.XSHE,47.46
956,603030.XSHG,45.47
957,002548.XSHE,31.63
958,002605.XSHE,53.77
959,603886.XSHG,37.81
960,000701.XSHE,33.7
961,600467.XSHG,113.42
962,600479.XSHG,32.73
963,000523.XSHE,122.96
964,002521.XSHE,31.68
965,600225.XSHG,15.58
966,603797.XSHG,80.5
967,002432.XSHE,396.07
968,300177.XSHE,178.93
969,002621.XSHE,654.29
970,000510.XSHE,61.93
971,300248.XSHE,62.43
972,600691.XSHG,-5.71
973,002355.XSHE,86.09
974,002750.XSHE,57.75
975,000716.XSHE,294.85
976,300150.XSHE,75.62
977,600389.XSHG,61.11
978,600488.XSHG,88.65
979,002160.XSHE,29.7
980,002666.XSHE,37.55
981,600794.XSHG,1754.52
982,002599.XSHE,138.41
983,300331.XSHE,133.01
984,600589.XSHG,49.76
985,603918.XSHG,169.43
986,300107.XSHE,224.39
987,300050.XSHE,40.61
988,603167.XSHG,21.0
989,000700.XSHE,29.56
990,300051.XSHE,88.17
991,600730.XSHG,9.06
992,002423.XSHE,-429.6
993,603611.XSHG,34.78
994,002259.XSHE,70.09
995,603889.XSHG,31.53
996,603988.XSHG,239.27
997,000597.XSHE,133.69
998,600318.XSHG,49.79
999,002480.XSHE,248.55
1000,300473.XSHE,45.68
1001,300006.XSHE,541.08
1002,002060.XSHE,38.33
1003,002076.XSHE,120.91
1004,000759.XSHE,47.29
1005,600117.XSHG,15.54
1006,002510.XSHE,34.46
1007,002391.XSHE,30.92
1008,300135.XSHE,177.41
1009,300172.XSHE,47.58
1010,002829.XSHE,70.85
1011,600846.XSHG,28.09
1012,603559.XSHG,127.34
1013,300374.XSHE,86.91
1014,600425.XSHG,-9.13
1015,600386.XSHG,47.03
1016,002061.XSHE,44.88
1017,002194.XSHE,-17.21
1018,002071.XSHE,20.85
1019,002520.XSHE,123.05
1020,002374.XSHE,39.11
1021,603131.XSHG,68.78
1022,300306.XSHE,53.32
1023,603823.XSHG,38.99
1024,002762.XSHE,70.16
1025,300566.XSHE,84.83
1026,600596.XSHG,28.22
1027,600468.XSHG,88.91
1028,002688.XSHE,34.23
1029,002741.XSHE,80.5
1030,002790.XSHE,29.64
1031,300052.XSHE,-106.19
1032,000422.XSHE,-4.43
1033,300443.XSHE,25.41
1034,600149.XSHG,-372.91
1035,000837.XSHE,107.14
1036,600106.XSHG,17.9
1037,603020.XSHG,31.73
1038,603926.XSHG,45.8
1039,002827.XSHE,46.25
1040,300590.XSHE,54.76
1041,002718.XSHE,40.31
1042,603416.XSHG,49.64
1043,603186.XSHG,53.56
1044,002116.XSHE,41.25
1045,000509.XSHE,-79.68
1046,002838.XSHE,65.73
1047,000966.XSHE,34.46
1048,600695.XSHG,51.39
1049,603778.XSHG,71.76
1050,603800.XSHG,-164.1
1051,002316.XSHE,-249.86
1052,002235.XSHE,180.68
1053,002775.XSHE,37.6
1054,300546.XSHE,73.77
1055,600459.XSHG,56.44
1056,603012.XSHG,55.23
1057,002682.XSHE,103.05
1058,002556.XSHE,45.83
1059,600680.XSHG,-11.04
1060,300249.XSHE,165.12
1061,600360.XSHG,121.18
1062,002454.XSHE,21.5
1063,300007.XSHE,56.64
1064,300282.XSHE,42.42
1065,002149.XSHE,200.98
1066,002869.XSHE,44.2
1067,600523.XSHG,28.74
1068,002140.XSHE,63.58
1069,603906.XSHG,52.41
1070,300427.XSHE,73.13
1071,000026.XSHE,42.23
1072,600077.XSHG,-32.35
1073,002334.XSHE,75.55
1074,600979.XSHG,22.78
1075,300519.XSHE,48.4
1076,300370.XSHE,65.52
1077,300446.XSHE,50.12
1078,600721.XSHG,24.36
1079,000916.XSHE,17.76
1080,000410.XSHE,-3.54
1081,002499.XSHE,261.85
1082,600661.XSHG,29.55
1083,300160.XSHE,37.5
1084,002768.XSHE,38.66
1085,000613.XSHE,-3222.9099
1086,002079.XSHE,46.05
1087,002746.XSHE,22.78
1088,002661.XSHE,39.44
1089,000007.XSHE,77.86
1090,002837.XSHE,73.98
1091,600785.XSHG,68.94
1092,002365.XSHE,69.41
1093,002012.XSHE,171.74
1094,300213.XSHE,53.08
1095,002787.XSHE,54.59
1096,300520.XSHE,108.83
1097,300206.XSHE,120.69
1098,603638.XSHG,57.66
1099,002729.XSHE,231.54
1100,002321.XSHE,61.32
1101,300340.XSHE,106.35
1102,600313.XSHG,158.77
1103,603768.XSHG,38.75
1104,603788.XSHG,30.99
1105,000545.XSHE,35.02
1106,002513.XSHE,57.74
1107,002033.XSHE,24.17
1108,603608.XSHG,39.92
1109,000698.XSHE,16.51
1110,000005.XSHE,52.77
1111,002604.XSHE,40.05
1112,002612.XSHE,32.31
1113,300226.XSHE,232.32
1114,300570.XSHE,51.92
1115,603929.XSHG,45.45
1116,002793.XSHE,50.92
1117,600463.XSHG,161.83
1118,300129.XSHE,24.85
1119,300127.XSHE,44.44
1120,603429.XSHG,93.05
1121,600552.XSHG,72.44
1122,603987.XSHG,53.71
1123,002671.XSHE,1614.02
1124,002777.XSHE,71.19
1125,300503.XSHE,81.66
1126,000862.XSHE,60.26
1127,002801.XSHE,54.09
1128,600616.XSHG,95.58
1129,300407.XSHE,62.52
1130,300102.XSHE,62.8
1131,300507.XSHE,54.5
1132,002218.XSHE,42.32
1133,002561.XSHE,23.65
1134,300494.XSHE,44.2
1135,002786.XSHE,70.82
1136,300152.XSHE,-62.73
1137,000919.XSHE,32.07
1138,002761.XSHE,323.27
1139,603585.XSHG,29.45
1140,002162.XSHE,261.1
1141,600251.XSHG,65.45
1142,002382.XSHE,29.89
1143,603339.XSHG,41.3
1144,002765.XSHE,44.02
1145,603027.XSHG,49.43
1146,002455.XSHE,63.51
1147,002240.XSHE,94.17
1148,002034.XSHE,241.66
1149,000019.XSHE,60.97
1150,300247.XSHE,60.38
1151,600723.XSHG,18.27
1152,002232.XSHE,122.48
1153,300350.XSHE,40.34
1154,000428.XSHE,-19.21
1155,603026.XSHG,32.4
1156,603798.XSHG,43.78
1157,603032.XSHG,116.47
1158,600088.XSHG,-63.22
1159,000504.XSHE,264.83
1160,002565.XSHE,59.67
1161,603117.XSHG,69.32
1162,600798.XSHG,51.59
1163,000585.XSHE,-51.66
1164,000151.XSHE,57.76
1165,002523.XSHE,51.82
1166,600707.XSHG,-21.03
1167,002253.XSHE,146.27
1168,002090.XSHE,46.84
1169,600475.XSHG,25.24
1170,300471.XSHE,33.92
1171,002264.XSHE,123.14
1172,002172.XSHE,20.13
1173,300119.XSHE,40.94
1174,002270.XSHE,24.07
1175,300325.XSHE,77.02
1176,600070.XSHG,37.64
1177,600461.XSHG,25.27
1178,603636.XSHG,117.1
1179,300348.XSHE,62.66
1180,002770.XSHE,60.53
1181,002776.XSHE,46.66
1182,603009.XSHG,96.99
1183,603599.XSHG,29.31
1184,002182.XSHE,27.68
1185,300415.XSHE,39.11
1186,300497.XSHE,30.93
1187,300151.XSHE,201.53
1188,000530.XSHE,31.18
1189,002713.XSHE,32.98
1190,600684.XSHG,14.14
1191,603667.XSHG,62.84
1192,002132.XSHE,48.43
1193,002769.XSHE,34.25
1194,000020.XSHE,1078.42
1195,603399.XSHG,72.31
1196,300242.XSHE,30.8
1197,600668.XSHG,15.71
1198,300066.XSHE,45.88
1199,600396.XSHG,-34.55
1200,300228.XSHE,-23.02
1201,300583.XSHE,59.27
1202,300599.XSHE,58.31
1203,002733.XSHE,48.61
1204,300303.XSHE,35.74
1205,000529.XSHE,53.74
1206,300048.XSHE,45.12
1207,000949.XSHE,38.81
1208,000920.XSHE,57.84
1209,600526.XSHG,144.5
1210,300360.XSHE,23.59
1211,300099.XSHE,143.17
1212,002148.XSHE,56.49
1213,600129.XSHG,-92.42
1214,600351.XSHG,-900.45
1215,000722.XSHE,44.67
1216,300411.XSHE,138.13
1217,002686.XSHE,53.77
1218,300512.XSHE,35.75
1219,002448.XSHE,27.2
1220,300198.XSHE,248.63
1221,600738.XSHG,106.59
1222,000037.XSHE,4.48
1223,600310.XSHG,52.21
1224,600683.XSHG,30.57
1225,002641.XSHE,30.6
1226,300263.XSHE,263.18
1227,300045.XSHE,115.32
1228,300522.XSHE,91.98
1229,601599.XSHG,33.14
1230,600888.XSHG,94.08
1231,300318.XSHE,263.59
1232,300440.XSHE,44.06
1233,603035.XSHG,25.74
1234,002541.XSHE,37.45
1235,300569.XSHE,35.79
1236,002229.XSHE,537.52
1237,300004.XSHE,106.32
1238,002441.XSHE,31.23
1239,002575.XSHE,-1506.72
1240,300422.XSHE,80.49
1241,600363.XSHG,34.55
1242,603366.XSHG,27.91
1243,300392.XSHE,-19.55
1244,000851.XSHE,66.51
1245,600202.XSHG,-33.54
1246,300510.XSHE,109.46
1247,603843.XSHG,66.05
1248,300326.XSHE,35.29
1249,600308.XSHG,21.81
1250,300229.XSHE,46.76
1251,300447.XSHE,64.59
1252,603558.XSHG,68.5
1253,600305.XSHG,34.04
1254,002114.XSHE,54.11
1255,601579.XSHG,36.73
1256,000511.XSHE,-50.4
1257,000561.XSHE,81.91
1258,600322.XSHG,-18.71
1259,002783.XSHE,54.69
1260,300094.XSHE,52.92
1261,600579.XSHG,478.95
1262,600824.XSHG,39.52
1263,000043.XSHE,25.29
1264,000045.XSHE,-84.0
1265,002442.XSHE,86.07
1266,000931.XSHE,515.49
1267,603998.XSHG,85.23
1268,002313.XSHE,82.38
1269,002260.XSHE,-820.48
1270,300523.XSHE,96.91
1271,300096.XSHE,-628.37
1272,603168.XSHG,22.43
1273,600720.XSHG,25.75
1274,300195.XSHE,43.0
1275,600133.XSHG,7.49
1276,600285.XSHG,16.87
1277,002361.XSHE,37.72
1278,300236.XSHE,109.43
1279,002763.XSHE,29.22
1280,002263.XSHE,-34.75
1281,600141.XSHG,52.0
1282,000520.XSHE,542.15
1283,300642.XSHE,62.57
1284,300276.XSHE,397.91
1285,300344.XSHE,188.01
1286,300190.XSHE,58.34
1287,600613.XSHG,37.35
1288,300279.XSHE,77.92
1289,600636.XSHG,-22.26
1290,002350.XSHE,92.57
1291,300259.XSHE,58.5
1292,300397.XSHE,-129.67
1293,603096.XSHG,37.99
1294,300357.XSHE,44.7
1295,000301.XSHE,54.06
1296,600713.XSHG,32.63
1297,002774.XSHE,58.81
1298,300571.XSHE,101.79
1299,300398.XSHE,95.3
1300,002062.XSHE,26.13
1301,002795.XSHE,96.02
1302,002620.XSHE,60.77
1303,600537.XSHG,22.66
1304,002255.XSHE,76.08
1305,300627.XSHE,59.42
1306,300258.XSHE,30.5
1307,600555.XSHG,-31.74
1308,603903.XSHG,127.03
1309,300444.XSHE,88.98
1310,600855.XSHG,132.17
1311,600831.XSHG,52.34
1312,002067.XSHE,21.9
1313,002265.XSHE,498.63
1314,002832.XSHE,43.93
1315,300379.XSHE,56.44
1316,002222.XSHE,71.59
1317,000608.XSHE,-13.67
1318,002706.XSHE,37.15
1319,600439.XSHG,35.34
1320,002163.XSHE,-811.53
1321,002300.XSHE,43.5
1322,002186.XSHE,44.47
1323,000546.XSHE,21.91
1324,000936.XSHE,10.23
1325,300063.XSHE,43.87
1326,002649.XSHE,51.3
1327,000521.XSHE,27.7
1328,000799.XSHE,53.77
1329,603999.XSHG,72.78
1330,600819.XSHG,27.73
1331,300365.XSHE,49.12
1332,600239.XSHG,23.19
1333,600501.XSHG,198.38
1334,002161.XSHE,271.75
1335,002393.XSHE,55.74
1336,000616.XSHE,-16.49
1337,002063.XSHE,48.18
1338,600653.XSHG,88.51
1339,600805.XSHG,73.08
1340,603639.XSHG,38.57
1341,002167.XSHE,147.77
1342,600533.XSHG,37.73
1343,000534.XSHE,79.65
1344,603977.XSHG,75.87
1345,002054.XSHE,40.16
1346,002836.XSHE,129.08
1347,603008.XSHG,29.18
1348,600135.XSHG,119.41
1349,300289.XSHE,93.57
1350,603601.XSHG,79.78
1351,002097.XSHE,51.42
1352,002781.XSHE,58.34
1353,300641.XSHE,47.3
1354,000417.XSHE,21.36
1355,603717.XSHG,38.17
1356,000756.XSHE,41.7
1357,600756.XSHG,52.99
1358,603306.XSHG,24.07
1359,002003.XSHE,21.55
1360,002104.XSHE,49.69
1361,601968.XSHG,902.96
1362,000950.XSHE,-12.26
1363,002137.XSHE,43.42
1364,002192.XSHE,1300.67
1365,000420.XSHE,100.77
1366,601015.XSHG,27.33
1367,600532.XSHG,47.85
1368,600966.XSHG,16.58
1369,603669.XSHG,41.29
1370,002528.XSHE,-16.0
1371,002246.XSHE,75.6
1372,600822.XSHG,391.59
1373,603299.XSHG,142.5
1374,600055.XSHG,78.01
1375,002070.XSHE,-109.14
1376,600569.XSHG,66.97
1377,002846.XSHE,113.92
1378,002471.XSHE,58.57
1379,300176.XSHE,127.32
1380,600168.XSHG,22.51
1381,300225.XSHE,101.44
1382,002802.XSHE,120.82
1383,000822.XSHE,43.07
1384,002169.XSHE,58.19
1385,002457.XSHE,395.91
1386,300089.XSHE,46.65
1387,300057.XSHE,99.14
1388,002135.XSHE,104.27
1389,002226.XSHE,94.36
1390,002109.XSHE,43.12
1391,002069.XSHE,70.57
1392,600890.XSHG,-153.3
1393,002459.XSHE,305.25
1394,002197.XSHE,117.17
1395,002689.XSHE,90.19
1396,300562.XSHE,87.67
1397,002494.XSHE,405.21
1398,002692.XSHE,78.78
1399,600814.XSHG,36.59
1400,000923.XSHE,-1695.4399
1401,002124.XSHE,18.34
1402,601188.XSHG,22.49
1403,002288.XSHE,-110.72
1404,600278.XSHG,42.24
1405,600586.XSHG,84.45
1406,600321.XSHG,1534.21
1407,002742.XSHE,55.54
1408,002639.XSHE,125.82
1409,603737.XSHG,48.74
1410,002083.XSHE,15.89
1411,002258.XSHE,28.92
1412,002683.XSHE,61.05
1413,601199.XSHG,20.09
1414,002845.XSHE,50.66
1415,002467.XSHE,-15.12
1416,601677.XSHG,22.57
1417,600229.XSHG,23.44
1418,603919.XSHG,27.12
1419,000571.XSHE,186.65
1420,002170.XSHE,85.72
1421,300298.XSHE,56.83
1422,002139.XSHE,40.65
1423,002472.XSHE,33.43
1424,603060.XSHG,53.0
1425,600790.XSHG,18.12
1426,002181.XSHE,31.52
1427,300221.XSHE,43.07
1428,000032.XSHE,123.52
1429,600502.XSHG,22.11
1430,000514.XSHE,46.21
1431,300140.XSHE,83.34
1432,603618.XSHG,49.32
1433,002590.XSHE,47.74
1434,300238.XSHE,96.62
1435,600529.XSHG,30.84
1436,600576.XSHG,54.28
1437,600571.XSHG,54.06
1438,002348.XSHE,160.53
1439,603630.XSHG,43.31
1440,603050.XSHG,99.19
1441,300436.XSHE,113.74
1442,600220.XSHG,55.39
1443,000980.XSHE,74.18
1444,002485.XSHE,-648.85
1445,603006.XSHG,54.29
1446,603308.XSHG,104.42
1447,300403.XSHE,36.61
1448,000531.XSHE,12.13
1449,603018.XSHG,30.84
1450,000957.XSHE,13.55
1451,300623.XSHE,52.57
1452,002351.XSHE,69.1
1453,000751.XSHE,42.43
1454,002582.XSHE,83.23
1455,002428.XSHE,-73.58
1456,300600.XSHE,62.03
1457,002005.XSHE,199.74
1458,002847.XSHE,78.07
1459,000888.XSHE,35.21
1460,300543.XSHE,88.12
1461,300358.XSHE,47.11
1462,300388.XSHE,48.07
1463,002823.XSHE,48.55
1464,300384.XSHE,98.96
1465,002650.XSHE,43.91
1466,002669.XSHE,88.11
1467,600114.XSHG,34.0
1468,002538.XSHE,29.43
1469,603133.XSHG,81.01
1470,603005.XSHG,113.3
1471,000693.XSHE,-15.99
1472,002315.XSHE,50.61
1473,600780.XSHG,166.55
1474,002198.XSHE,122.98
1475,601028.XSHG,-10.2
1476,002577.XSHE,370.6
1477,300073.XSHE,66.1
1478,300363.XSHE,37.48
1479,000099.XSHE,83.51
1480,600303.XSHG,16.58
1481,002872.XSHE,30.42
1482,002458.XSHE,14.23
1483,002339.XSHE,110.24
1484,300353.XSHE,54.06
1485,300577.XSHE,69.63
1486,002126.XSHE,24.61
1487,002685.XSHE,218.39
1488,000905.XSHE,35.51
1489,603456.XSHG,59.51
1490,300409.XSHE,63.43
1491,000070.XSHE,33.69
1492,600581.XSHG,12.86
1493,000973.XSHE,52.74
1494,000735.XSHE,42.94
1495,300349.XSHE,63.06
1496,600971.XSHG,21.75
1497,300147.XSHE,121.44
1498,600387.XSHG,62.03
1499,300335.XSHE,49.09
1500,300342.XSHE,37.74
1501,002618.XSHE,267.19
1502,600289.XSHG,53.32
1503,300381.XSHE,60.91
1504,300322.XSHE,128.53
1505,300424.XSHE,114.49
1506,600626.XSHG,39.36
1507,600509.XSHG,18.92
1508,000925.XSHE,-67.22
1509,600171.XSHG,165.56
1510,002551.XSHE,58.1
1511,000584.XSHE,-17.45
1512,300230.XSHE,34.01
1513,600973.XSHG,27.16
1514,002766.XSHE,85.47
1515,603337.XSHG,28.18
1516,002474.XSHE,241.03
1517,600880.XSHG,162.01
1518,002392.XSHE,44.37
1519,600382.XSHG,31.44
1520,002031.XSHE,235.77
1521,600834.XSHG,121.67
1522,600103.XSHG,77.28
1523,002318.XSHE,41.81
1524,002562.XSHE,35.23
1525,002291.XSHE,304.33
1526,002527.XSHE,40.34
1527,300256.XSHE,48.01
1528,600496.XSHG,72.26
1529,300034.XSHE,74.84
1530,600255.XSHG,28.76
1531,601002.XSHG,74.25
1532,000533.XSHE,35.37
1533,600724.XSHG,-84.15
1534,002557.XSHE,21.0
1535,002656.XSHE,-39.61
1536,002659.XSHE,-77.59
1537,300438.XSHE,48.04
1538,000672.XSHE,27.26
1539,000762.XSHE,-288.14
1540,000680.XSHE,159.64
1541,300410.XSHE,77.08
1542,002822.XSHE,45.72
1543,002843.XSHE,171.8
1544,300262.XSHE,47.49
1545,300528.XSHE,60.38
1546,600897.XSHG,17.94
1547,300128.XSHE,131.33
1548,603166.XSHG,57.35
1549,300484.XSHE,43.71
1550,002534.XSHE,26.35
1551,002224.XSHE,30.71
1552,002324.XSHE,28.34
1553,002486.XSHE,3391.1699
1554,300612.XSHE,114.03
1555,603007.XSHG,75.19
1556,300607.XSHE,74.78
1557,000650.XSHE,20.72
1558,300091.XSHE,150.5
1559,000606.XSHE,226.49
1560,601700.XSHG,32.92
1561,300502.XSHE,63.52
1562,000788.XSHE,565.99
1563,000908.XSHE,21.7
1564,002020.XSHE,32.09
1565,002111.XSHE,42.86
1566,300117.XSHE,94.35
1567,300005.XSHE,50.21
1568,300319.XSHE,46.95
1569,600742.XSHG,14.39
1570,002106.XSHE,30.11
1571,600512.XSHG,60.67
1572,000838.XSHE,72.9
1573,600960.XSHG,44.19
1574,002216.XSHE,154.49
1575,002540.XSHE,22.72
1576,002059.XSHE,91.68
1577,002409.XSHE,97.95
1578,000795.XSHE,221.98
1579,603393.XSHG,34.1
1580,600829.XSHG,32.15
1581,600677.XSHG,424.91
1582,603808.XSHG,31.12
1583,300327.XSHE,61.01
1584,600896.XSHG,-12.28
1585,002433.XSHE,28.6
1586,603179.XSHG,49.21
1587,600207.XSHG,-807.55
1588,002178.XSHE,642.49
1589,300534.XSHE,164.11
1590,300595.XSHE,60.0
1591,002792.XSHE,40.05
1592,600844.XSHG,-85.27
1593,002833.XSHE,39.07
1594,601137.XSHG,38.53
1595,600818.XSHG,66.28
1596,603398.XSHG,133.5
1597,300311.XSHE,66.25
1598,600337.XSHG,21.94
1599,601368.XSHG,25.45
1600,002811.XSHE,97.05
1601,002029.XSHE,26.94
1602,603628.XSHG,99.12
1603,002496.XSHE,26.98
1604,300337.XSHE,197.43
1605,002449.XSHE,35.68
1606,600587.XSHG,206.07
1607,300143.XSHE,75.4
1608,600330.XSHG,66.37
1609,002425.XSHE,41.39
1610,002320.XSHE,39.51
1611,002332.XSHE,49.74
1612,002569.XSHE,-11446.2305
1613,600284.XSHG,20.14
1614,603586.XSHG,34.95
1615,002283.XSHE,32.42
1616,600059.XSHG,59.99
1617,600433.XSHG,65.28
1618,002173.XSHE,67.65
1619,000553.XSHE,-312.31
1620,002812.XSHE,46.35
1621,300429.XSHE,60.7
1622,603036.XSHG,121.94
1623,603165.XSHG,39.21
1624,600206.XSHG,136.44
1625,000733.XSHE,37.39
1626,002040.XSHE,74.77
1627,000576.XSHE,72.28
1628,000518.XSHE,462.66
1629,002430.XSHE,-35.5
1630,603001.XSHG,24.38
